id,minutes,n_steps,n_ingredients,rating,Calories,Total Fat (PDV),Sugar (PDV),Sodium (PDV),Protein (PDV),Saturated Fat (PDV),Carbohydrates (PDV),total_fat_g,sugar_g,sodium_g,protein_g,sat_fat_g,carbs_g,wws_points,latitude,longitude
220241.0,33.0,9.0,10.0,4.846153846153846,250.7,16.0,20.0,9.0,17.0,10.0,7.0,10.4,10.0,0.21599999999999997,8.5,2.0,21.0,8.0,-2.9814344,23.8222636
206463.0,35.0,9.0,10.0,4.944444444444445,337.4,24.0,11.0,20.0,35.0,26.0,7.0,15.6,5.5,0.48,17.5,5.2,21.0,2.0,30.8703881,-92.007126
189809.0,25.0,8.0,8.0,4.857142857142857,246.2,13.0,24.0,7.0,16.0,13.0,5.0,8.45,12.0,0.168,8.0,2.6,15.0,12.0,18.4,-75.0
222020.0,35.0,11.0,8.0,5.0,291.1,23.0,11.0,11.0,19.0,32.0,5.0,14.95,5.5,0.264,9.5,6.4,15.0,7.0,46.603354,1.8883335
178062.5,33.0,10.0,9.0,4.933943089430894,269.0,22.0,13.5,14.0,18.0,27.5,7.0,14.3,6.75,0.336,9.0,5.5,21.0,9.0,42.2781117,22.1039047
179598.0,30.0,9.0,10.0,4.857142857142857,300.7,24.0,13.0,15.0,21.0,22.0,6.0,15.6,6.5,0.36,10.5,4.4,18.0,6.0,38.9953683,21.9877132
126249.0,40.0,10.0,11.0,4.670289855072464,242.10000000000002,14.0,18.0,9.0,14.0,11.0,7.0,9.1,9.0,0.21599999999999997,7.0,2.2,21.0,9.0,22.3511148,78.6677428
166583.0,30.0,8.0,7.0,4.833333333333333,271.25,16.0,15.5,7.0,12.0,20.0,7.0,10.4,7.75,0.168,6.0,4.0,21.0,11.0,52.865196,-7.9794599
199626.5,25.0,9.0,9.0,4.849624060150376,192.9,11.0,10.0,19.0,14.0,7.5,3.5,7.15,5.0,0.45599999999999996,7.0,1.5,10.5,2.5,36.5748441,139.2394179
153440.5,30.0,9.0,10.0,4.8,188.39999999999998,14.0,10.0,29.0,21.5,9.0,3.5,9.1,5.0,0.696,10.75,1.8,10.5,4.0,61.4988,14.7578277
174282.0,30.0,9.0,9.0,4.888888888888889,306.5,24.0,13.0,21.0,30.0,26.0,7.0,15.6,6.5,0.504,15.0,5.2,21.0,4.0,23.6585116,-102.0077097
236618.0,35.0,9.0,9.0,5.0,271.4,23.0,12.0,10.0,19.0,16.0,5.0,14.95,6.0,0.24,9.5,3.2,15.0,6.0,39.3260685,-4.8379791
157689.0,30.0,9.0,12.0,4.75,276.9,20.0,21.0,25.0,37.0,16.0,5.0,13.0,10.5,0.6,18.5,3.2,15.0,7.0,14.8971921,100.83273
125314.5,30.0,11.0,12.5,4.792857142857143,244.60000000000002,11.5,20.0,29.5,25.5,10.0,5.0,7.475,10.0,0.708,12.75,2.0,15.0,6.0,15.9266657,107.9650855
