ID,Name,Likes,Meal Type,Cuisines,N_ingredients,WW Smart Points,Calories (Amount),Calories (Unit),Calories (% of Daily Needs),Saturated Fat (Amount),Saturated Fat (Unit),Saturated Fat (% of Daily Needs),Sugar (Amount),Sugar (Unit),Sugar (% of Daily Needs),Sodium (Amount),Sodium (Unit),Sodium (% of Daily Needs),Protein (Amount),Protein (Unit),Protein (% of Daily Needs),Carbohydrates
637016,Caramel Peanut Fudge Cake,84,['dessert'],[],9,18,459.09,kcal,22.95,15.72,g,98.24,17.57,g,19.52,54.0,mg,2.35,0.5,g,2.78,39g
638717,Chinese Steamed Flan,9,['dessert'],"['Chinese', 'Asian']",6,10,251.51,kcal,12.58,2.58,g,16.11,38.89,g,43.21,80.02,mg,3.48,0.24,g,1.34,42g
635524,Blueberry Ricotta Cake,3,['dessert'],[],14,144,3720.99,kcal,186.05,60.27,g,376.66,385.19,g,427.99,3990.0,mg,173.48,1.03,g,5.73,499g
649567,Lemon Coconut Granola,32,"['morning meal', 'brunch', 'breakfast']",[],11,8,316.88,kcal,15.84,10.34,g,64.64,18.48,g,20.53,15.49,mg,0.67,6.31,g,12.62,37g
635235,Blackberry Pie With Lemon Verbena Whip Cream,3,['dessert'],[],9,9,232.89,kcal,11.64,11.82,g,73.87,7.72,g,8.58,25.88,mg,1.13,2.95,g,5.91,15g
632819,Asian Chickpea Lettuce Wraps,15,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",['Asian'],12,1,52.12,kcal,2.61,0.35,g,2.21,3.35,g,3.73,258.27,mg,11.23,1.25,g,2.49,6g
635601,Boiled Egg Curry,2,"['lunch', 'main course', 'main dish', 'dinner']","['Indian', 'Asian']",15,15,515.07,kcal,25.75,5.5,g,34.35,12.28,g,13.65,493.95,mg,21.48,16.38,g,32.76,25g
641644,Dreamy Chai Rice Pudding,11,['dessert'],[],12,14,596.88,kcal,29.84,4.73,g,29.59,38.71,g,43.02,107.99,mg,4.7,0.34,g,1.91,113g
638772,Chiquetaille: Cod Fish Salad,3,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],13,3,246.67,kcal,12.33,1.05,g,6.55,3.27,g,3.64,4194.59,mg,182.37,36.77,g,73.54,7g
659380,Sausage Rolls By Bing,3,"['fingerfood', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],8,42,1212.69,kcal,60.63,29.62,g,185.1,1.07,g,1.19,1212.39,mg,52.71,29.0,g,58.0,58g
792705,4 Ingredient Raw Peanut Butter Chocolate Cups,41,"['condiment', 'dip', 'spread']",[],5,10,284.77,kcal,14.24,7.14,g,44.63,9.09,g,10.1,129.08,mg,5.61,13.33,mg,4.44,16g
659674,Seared Pork Chops W/ Mango Salsa,6,"['lunch', 'main course', 'main dish', 'dinner']",['Mexican'],16,9,427.65,kcal,21.38,5.45,g,34.07,10.47,g,11.64,290.49,mg,12.63,40.3,g,80.6,20g
639031,Chocolate Fudge Cookies,11,['dessert'],[],9,7,177.7,kcal,8.89,4.61,g,28.83,8.3,g,9.22,198.67,mg,8.64,2.18,g,4.35,17g
664101,Turkish squares,3,['side dish'],[],11,25,603.77,kcal,30.19,10.63,g,66.45,47.54,g,52.82,331.82,mg,14.43,12.59,g,25.17,87g
662303,Sunday Morning Doughnuts,3,"['morning meal', 'brunch', 'breakfast']",[],10,8,183.91,kcal,9.2,0.97,g,6.08,23.78,g,26.42,279.31,mg,12.14,3.11,g,6.23,40g
662285,Sun Dried Tomato Stuffed Mushrooms,8,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],19,8,249.64,kcal,12.48,8.68,g,54.22,6.3,g,7.0,394.54,mg,17.15,12.81,g,25.62,15g
