ID,Name,Likes,Meal Type,Cuisines,N_ingredients,Calories (Amount),Calories (Unit),Calories (% of Daily Needs),Saturated Fat (Amount),Saturated Fat (Unit),Saturated Fat (% of Daily Needs),Sugar (Amount),Sugar (Unit),Sugar (% of Daily Needs),Sodium (Amount),Sodium (Unit),Sodium (% of Daily Needs),Protein (Amount),Protein (Unit),Protein (% of Daily Needs)
1077392,How to Cook Sweet Potatoes on the Grill,2,['side dish'],[],3,174.69,kcal,8.73,4.9,g,30.62,4.81,g,5.35,123.41,mg,5.37,2.01,g,4.02
663588,Tomato Cutlets,19,['side dish'],[],11,372.73,kcal,18.64,7.24,g,45.27,26.61,g,29.56,483.03,mg,21.0,17.33,g,34.65
716424,Strawberry Basil Sorbet (no Ice Cream Maker Necessary!),101,['dessert'],[],5,173.06,kcal,8.65,0.63,g,3.91,28.64,g,31.83,2.26,mg,0.1,0.42,g,0.85
975070,Instant Pot Chicken Taco Soup,6,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",['Mexican'],12,345.99,kcal,17.3,1.18,g,7.38,11.93,g,13.25,887.31,mg,38.58,25.41,g,50.82
635113,Black Forest Mini Cheesecakes,11,['dessert'],[],15,393.63,kcal,19.68,15.09,g,94.29,23.19,g,25.77,352.97,mg,15.35,12.88,mg,4.29
657384,Pumpkin soup with wine,14,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],6,461.35,kcal,23.07,16.55,g,103.44,4.46,g,4.95,527.17,mg,22.92,20.53,g,114.07
796873,Yogurt Parfait,2,"['morning meal', 'brunch', 'breakfast']",[],6,691.36,kcal,34.57,1.94,g,12.11,80.66,g,89.62,404.51,mg,17.59,35.9,g,71.8
654285,Oxtail Ragout,3,"['lunch', 'main course', 'main dish', 'dinner']",[],13,656.02,kcal,32.8,12.13,g,75.8,10.35,g,11.5,649.41,mg,28.24,73.24,g,146.48
636632,Buttery Pull Apart Monkey Bread,9,['dessert'],[],10,396.99,kcal,19.85,9.93,g,62.05,9.32,g,10.36,400.89,mg,17.43,6.24,g,12.48
649503,Lemon and Honey Chicken,50,['side dish'],[],12,254.36,kcal,12.72,3.85,g,24.04,9.26,g,10.29,579.45,mg,25.19,10.47,g,20.93
782598,Toasted Coconut Pancakes with Toasted Coconut Sauce,38,"['morning meal', 'brunch', 'breakfast']",[],14,552.2,kcal,27.61,34.98,g,218.6,12.21,g,13.57,383.35,mg,16.67,8.17,g,16.34
642054,Easy Parmesan Knots,15,['side dish'],[],6,181.05,kcal,9.05,1.5,g,9.35,1.2,g,1.33,346.9,mg,15.08,2.6,g,5.2
635856,Braised Pork: Filipino Humba,7,"['lunch', 'main course', 'main dish', 'dinner']",[],19,532.1,kcal,26.6,3.88,g,24.27,39.45,g,43.83,1030.56,mg,44.81,1.81,g,10.06
1050445,How to Make the Best Crock Pot Roast,6,"['lunch', 'main course', 'main dish', 'dinner']",[],6,256.58,kcal,12.83,3.23,g,20.2,1.04,g,1.15,520.98,mg,22.65,37.95,g,75.9
660842,Spanakopita Cups,10,"['side dish', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Mediterranean', 'European', 'Greek']",11,167.28,kcal,8.36,4.88,g,30.48,0.27,g,0.3,211.44,mg,9.19,3.71,g,7.42
664025,Turkey Enchilada Bake,31,"['lunch', 'main course', 'main dish', 'dinner']",['Mexican'],22,598.76,kcal,29.94,12.23,g,76.42,6.42,g,7.13,769.35,mg,33.45,27.61,g,55.22
636230,Broccoli with cheese soup,18,['side dish'],[],8,120.38,kcal,6.02,2.92,g,18.27,4.78,g,5.32,370.81,mg,16.12,7.24,g,14.47
632632,Applesauce Cake,11,['dessert'],[],13,627.65,kcal,31.38,10.87,g,67.93,62.97,g,69.97,511.18,mg,22.23,8.06,g,16.13
658808,Rosemary Thyme Marinated Mushrooms,2,['side dish'],[],10,56.04,kcal,2.8,0.37,g,2.34,4.03,g,4.48,9.97,mg,0.43,3.12,g,6.23
644853,Gluten Free Profiteroles,4,['side dish'],[],8,800.3,kcal,40.01,45.78,g,286.15,4.79,g,5.32,1205.19,mg,52.4,10.32,g,20.64
650487,Lusciously Lemony Lentil Soup,3,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],14,971.32,kcal,48.57,15.31,g,95.69,13.31,g,14.78,1152.3,mg,50.1,44.43,g,88.87
639137,Chocolate Pavlova with Winter Fruit,13,['dessert'],[],12,283.94,kcal,14.2,10.35,g,64.7,29.74,g,33.05,32.36,mg,1.41,5.7,mg,1.9
633314,Bacon Ice Cream,9,[],[],3,1039.89,kcal,51.99,31.0,g,193.73,0.54,g,0.6,1501.39,mg,65.28,29.87,g,59.74
660216,Skillet Chili Mac,2,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']",['American'],15,682.38,kcal,34.12,10.98,g,68.62,6.93,g,7.7,573.51,mg,24.94,51.61,g,103.22
640273,Crab Cake Stuffed Shrimp,6,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],16,112.0,kcal,5.6,3.46,g,21.6,1.55,g,1.73,264.87,mg,11.52,0.52,g,2.86
640921,Stuffed Artichoke Main Dish,18,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']",[],14,519.58,kcal,25.98,1.9,g,11.85,11.82,g,13.13,546.28,mg,23.75,56.35,g,112.71
656227,Pink Grapefruit Slaw,3,['side dish'],[],7,89.8,kcal,4.49,0.53,g,3.31,8.99,g,9.99,274.55,mg,11.94,1.67,g,3.34
632155,Almond Nut Butter,20,"['condiment', 'dip', 'spread']",[],5,119.0,kcal,5.95,1.11,g,6.96,2.01,g,2.23,0.7,mg,0.03,3.93,g,7.87
650239,Loaded Veggie Omelet,10,"['lunch', 'main course', 'morning meal', 'brunch', 'main dish', 'breakfast', 'dinner']",[],11,408.12,kcal,20.41,10.17,g,63.56,4.73,g,5.26,329.24,mg,14.31,21.47,g,42.95
639493,Cinnamon Toffee Praline Oatmeal Cookies,2,['dessert'],[],15,196.79,kcal,9.84,7.12,g,44.5,11.0,g,12.23,99.59,mg,4.33,2.33,g,4.65
661522,Steak With Blue Cheese Sherry Sauce,2,"['lunch', 'main course', 'main dish', 'dinner']",[],5,368.21,kcal,18.41,5.64,g,35.25,0.2,g,0.22,218.6,mg,9.5,1.55,g,8.58
157259,Cocoa Protein Pancakes,8,"['morning meal', 'brunch', 'breakfast']",[],5,410.63,kcal,20.53,4.52,g,28.27,15.48,g,17.2,429.23,mg,18.66,5.75,mg,1.92
645145,Grandma B's Rhubarb Cake,2,['dessert'],[],14,292.57,kcal,14.63,0.66,g,4.13,51.51,g,57.23,131.19,mg,5.7,3.36,g,6.73
